date,daily_pnl,holding_pnl,margin,market_value,realized_pnl,total_cash,total_value,transaction_cost
2016-02-01,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
2016-02-02,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
2016-02-03,0.0,0.0,327504.0,818760.0,0.0,626246.105,953750.105,0.0
2016-02-04,0.0,0.0,333312.0,833280.0,0.0,634958.105,968270.105,0.0
2016-02-05,0.0,0.0,331008.0,827520.0,0.0,631502.105,962510.105,0.0
2016-02-15,0.0,0.0,328584.0,821460.0,0.0,627866.105,956450.105,0.0
2016-02-16,0.0,0.0,337800.0,844500.0,0.0,641690.105,979490.105,0.0
2016-02-17,0.0,0.0,339480.0,848700.0,0.0,644210.105,983690.105,0.0
2016-02-18,0.0,0.0,340032.0,850080.0,0.0,645038.105,985070.105,0.0
2016-02-19,0.0,0.0,339288.0,848220.0,0.0,643922.105,983210.105,0.0
2016-02-22,0.0,0.0,344904.0,862260.0,0.0,652346.105,997250.105,0.0
2016-02-23,0.0,0.0,339792.0,849480.0,0.0,644678.105,984470.105,0.0
2016-02-24,0.0,0.0,340920.0,852300.0,0.0,646370.105,987290.105,0.0
2016-02-25,0.0,0.0,324504.0,811260.0,0.0,621746.105,946250.105,0.0
2016-02-26,0.0,0.0,326640.0,816600.0,0.0,624950.105,951590.105,0.0
2016-02-29,0.0,0.0,314256.0,785640.0,0.0,606374.105,920630.105,0.0
2016-03-01,0.0,0.0,325392.0,813480.0,0.0,623078.105,948470.105,0.0
2016-03-02,0.0,0.0,340152.0,850380.0,0.0,645218.105,985370.105,0.0
2016-03-03,0.0,0.0,340632.0,851580.0,0.0,645938.105,986570.105,0.0
2016-03-04,0.0,0.0,343752.0,859380.0,0.0,650618.105,994370.105,0.0
2016-03-07,0.0,0.0,348528.0,871320.0,0.0,657782.105,1006310.105,0.0
2016-03-08,0.0,0.0,347040.0,867600.0,0.0,655550.105,1002590.105,0.0
2016-03-09,0.0,0.0,342816.0,857040.0,0.0,649214.105,992030.105,0.0
2016-03-10,0.0,0.0,341952.0,854880.0,0.0,647918.105,989870.105,0.0
2016-03-11,0.0,0.0,339336.0,848340.0,0.0,643994.105,983330.105,0.0
